model_name,model_family,img_size_ref,flops,macs,params,activation_bytes,peak_activation,num_ops,depth,arithmetic_intensity,op_conv3x3_n,op_conv3x3_flops,op_conv3x3_act,op_conv1x1_n,op_conv1x1_flops,op_conv1x1_act,op_depthwise_conv_n,op_depthwise_conv_flops,op_depthwise_conv_act,op_linear_n,op_linear_flops,op_linear_act,op_attention_n,op_attention_flops,op_attention_act,op_pool_n,op_pool_flops,op_pool_act,op_upsample_n,op_upsample_flops,op_upsample_act,op_norm_n,op_norm_flops,op_norm_act,op_activation_silu_n,op_activation_silu_flops,op_activation_silu_act,op_activation_relu_n,op_activation_relu_flops,op_activation_relu_act,op_activation_gelu_n,op_activation_gelu_flops,op_activation_gelu_act,op_norm_bn_n,op_norm_bn_flops,op_norm_bn_act,op_norm_ln_n,op_norm_ln_flops,op_norm_ln_act
convnext_base,convnext,224,30709561344.0,15354780672.0,88533224.0,419901344,6422528,377,377,73.13518230606093,4,655097856.0,3010560,0,0.0,0,36,457304064.0,18665472,73,29597057024.0,93331360,0,0.0,0,1,0.0,4096,0,0.0,0,,,,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,41.0,0.0,23085056.0
convnext_large,convnext,224,68723020800.0,34361510400.0,197679976.0,629850016,9633792,377,377,109.11013583271863,4,1445068800.0,4515840,0,0.0,0,36,685956096.0,27998208,73,66591842304.0,139995040,0,0.0,0,1,0.0,6144,0,0.0,0,,,,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,41.0,0.0,34627584.0
convnext_small,convnext,224,17367501312.0,8683750656.0,50180008.0,314927008,4816896,377,377,55.14770366090672,4,375717888.0,2257920,0,0.0,0,36,342978048.0,13999104,73,16648728576.0,69999520,0,0.0,0,1,0.0,3072,0,0.0,0,,,,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,41.0,0.0,17313792.0
convnext_tiny,convnext,224,8911139328.0,4455569664.0,28566184.0,195708832,4816896,197,197,45.5326376277183,4,375717888.0,2257920,0,0.0,0,18,210212352.0,8580096,37,8325132288.0,42904480,0,0.0,0,1,0.0,3072,0,0.0,0,,,,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,23.0,0.0,11894784.0
deeplabv3_mobilenet_v3_large,deeplabv3,640,31087370800.0,15543685400.0,11025477.0,526943776,26214400,187,187,58.99561246549385,5,23209574400.0,13107200,50,7038795520.0,111515744,15,455808000.0,57600000,0,0.0,0,0,0.0,0,9,0.0,20064,0,0.0,0,,,,0,0.0,0,26,0.0,85406720,0,0.0,0,53.0,0.0,182068224.0,0.0,0.0,0.0
deeplabv3_resnet101,deeplabv3,640,756702648320.0,378351324160.0,58630997.0,4486488064,52428800,333,333,168.66257917676253,38,468123648000.0,275251200,74,285492248576.0,1255553024,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,6561792,0,0.0,0,,,,0,0.0,0,107,0.0,1412301824,0,0.0,0,111.0,0.0,1530266624.0,0.0,0.0,0.0
deeplabv3_resnet50,deeplabv3,640,512934942720.0,256467471360.0,39638869.0,2481086464,52428800,180,180,206.7380360026018,21,339777945600.0,163840000,40,171407179776.0,698497024,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,6561792,0,0.0,0,,,,0,0.0,0,56,0.0,743834624,0,0.0,0,60.0,0.0,861799424.0,0.0,0.0,0.0
deit3_large_patch16_224,deit,224,119294345216.0,59647172608.0,304023528.0,624553888,3227648,441,441,191.00728937580482,1,308281344.0,802816,0,0.0,0,0,0.0,0,49,79324725248.0,96833440,48,39661338624.0,77463552,0,0.0,0,0,0.0,0,,,,0,0.0,0,0,0.0,0,24,0.0,77463552,0.0,0.0,0.0,49.0,0.0,39538688.0
deit_base_patch16_224,deit,224,33697001472.0,16848500736.0,86377192.0,236025760,2420736,225,225,142.76832101716354,1,231211008.0,602112,0,0.0,0,0,0.0,0,25,22311038976.0,36315040,24,11154751488.0,29048832,0,0.0,0,0,0.0,0,,,,0,0.0,0,0,0.0,0,12,0.0,29048832,0.0,0.0,0.0,25.0,0.0,15129600.0
deit_base_patch16_384,deit,224,33697001472.0,16848500736.0,86377192.0,236025760,2420736,225,225,142.76832101716354,1,231211008.0,602112,0,0.0,0,0,0.0,0,25,22311038976.0,36315040,24,11154751488.0,29048832,0,0.0,0,0,0.0,0,,,,0,0.0,0,0,0.0,0,12,0.0,29048832,0.0,0.0,0.0,25.0,0.0,15129600.0
