group,y_true_log,y_pred_log,y_true_sec,y_pred_sec,model_name,used_gpu,img_size,batch
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.0722394050251254,-1.9493972447628538,2.921915531158448,0.1423598538785382,yolov5nu.pt,0,160,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.4102814321435446,-2.9796611425905017,0.2440745830535888,0.05081004830945936,yolov5nu.pt,0,320,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.9553140641649114,-2.7454011961696922,0.1415200233459472,0.0642225299422143,yolov5nu.pt,0,640,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.6998280503727257,-2.3803275127170065,0.1827149391174316,0.0925202709823999,yolov5nu.pt,0,800,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.521487071235734,-2.1627148599801442,0.21838688850402826,0.11501245409777434,yolov5nu.pt,0,960,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.5170818497497345,-1.9421044101978349,0.219351053237915,0.14340185569674027,yolov5nu.pt,0,1120,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.933405502296174,-3.0705288275507447,0.05321550369262689,0.046396612561698296,yolov5nu.pt,0,160,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-2.1128770196706173,-2.809250859099896,0.12088966369628898,0.06025011131266929,yolov5nu.pt,0,320,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.5123908236974966,-2.017575122487698,0.2203824520111084,0.13297752865883125,yolov5nu.pt,0,640,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.3163417909892772,-1.7591066668543158,0.2681143283843994,0.17219862587259033,yolov5nu.pt,0,800,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.0638832662922586,-1.465964963664828,0.3451130390167236,0.23085511716191545,yolov5nu.pt,0,960,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.753323080092126,-1.0875721706545416,0.470799446105957,0.33703376166871335,yolov5nu.pt,0,1120,2
